nuts2;date;tier
Abruzzo;06/11/20;Yellow
Abruzzo;07/11/20;Yellow
Abruzzo;08/11/20;Yellow
Abruzzo;09/11/20;Yellow
Abruzzo;10/11/20;Yellow
Abruzzo;11/11/20;Orange
Abruzzo;12/11/20;Orange
Abruzzo;13/11/20;Orange
Abruzzo;14/11/20;Orange
Abruzzo;15/11/20;Orange
Abruzzo;16/11/20;Orange
Abruzzo;17/11/20;Orange
Abruzzo;18/11/20;Orange
Abruzzo;19/11/20;Orange
Abruzzo;20/11/20;Orange
Abruzzo;21/11/20;Orange
Abruzzo;22/11/20;Orange
Abruzzo;23/11/20;Red
Abruzzo;24/11/20;Red
Abruzzo;25/11/20;Red
Abruzzo;26/11/20;Red
Abruzzo;27/11/20;Red
Abruzzo;28/11/20;Red
Abruzzo;29/11/20;Red
Abruzzo;30/11/20;Red
Abruzzo;01/12/20;Red
Abruzzo;02/12/20;Red
Abruzzo;03/12/20;Red
Abruzzo;04/12/20;Red
Abruzzo;05/12/20;Red
Abruzzo;06/12/20;Red
Abruzzo;07/12/20;Red
Abruzzo;08/12/20;Red
Abruzzo;09/12/20;Red
Abruzzo;10/12/20;Red
Abruzzo;11/12/20;Red
Abruzzo;12/12/20;Red
Abruzzo;13/12/20;Orange
Abruzzo;14/12/20;Orange
Abruzzo;15/12/20;Orange
Abruzzo;16/12/20;Orange
Abruzzo;17/12/20;Orange
Abruzzo;18/12/20;Orange
Abruzzo;19/12/20;Orange
Abruzzo;20/12/20;Orange
Abruzzo;21/12/20;Orange
Abruzzo;22/12/20;Orange
Abruzzo;23/12/20;Orange
Abruzzo;24/12/20;Red
Abruzzo;25/12/20;Red
Abruzzo;26/12/20;Red
Abruzzo;27/12/20;Red
Abruzzo;28/12/20;Orange
Abruzzo;29/12/20;Orange
Abruzzo;30/12/20;Orange
Abruzzo;31/12/20;Red
Abruzzo;01/01/21;Red
Abruzzo;02/01/21;Red
Abruzzo;03/01/21;Red
Abruzzo;04/01/21;Orange
Abruzzo;05/01/21;Red
Abruzzo;06/01/21;Red
Abruzzo;07/01/21;Yellow
Abruzzo;08/01/21;Yellow
Abruzzo;09/01/21;Orange
Abruzzo;10/01/21;Orange
Abruzzo;11/01/21;Yellow
Abruzzo;12/01/21;Yellow
Abruzzo;13/01/21;Yellow
Abruzzo;14/01/21;Yellow
Abruzzo;15/01/21;Yellow
Abruzzo;16/01/21;Yellow
Abruzzo;17/01/21;Orange
